class_id,class_name,test_instances,precision,recall,f1,ap50,map50_95
0,Aluminium foil,7,1.0,0.14285714285714285,0.25,0.166996699669967,0.13458745874587458
1,Battery,0,0.0,0.0,0.0,nan,nan
2,Aluminium blister pack,0,0.0,0.0,0.0,nan,nan
3,Carded blister pack,0,0.0,0.0,0.0,nan,nan
4,Other plastic bottle,10,0.1111111111111111,0.2,0.14285714285714285,0.0231023102310231,0.009350935093509349
5,Clear plastic bottle,30,0.7391304347826086,0.5666666666666667,0.6415094339622641,0.6055653923345158,0.5090991059336043
6,Glass bottle,11,0.5,0.18181818181818182,0.26666666666666666,0.1433117232924043,0.10440355667836954
7,Plastic bottle cap,29,0.3448275862068966,0.3448275862068966,0.3448275862068966,0.22620390593947817,0.13760329986562866
8,Metal bottle cap,8,0.5,0.25,0.3333333333333333,0.15078450779321356,0.12173633520739273
9,Broken glass,4,0.0,0.0,0.0,0.0,0.0
10,Food Can,1,0.0,0.0,0.0,0.0,0.0
11,Aerosol,0,0.0,0.0,0.0,nan,nan
12,Drink can,24,0.4074074074074074,0.4583333333333333,0.4313725490196078,0.21750938863776215,0.16909385450988995
13,Toilet tube,0,0.0,0.0,0.0,nan,nan
14,Other carton,15,0.1111111111111111,0.13333333333333333,0.1212121212121212,0.0154015401540154,0.012706270627062704
15,Egg carton,1,0.0,0.0,0.0,0.0,0.0
16,Drink carton,9,1.0,0.1111111111111111,0.19999999999999998,0.14123471170646476,0.10160163075131043
17,Corrugated carton,13,0.42105263157894735,0.6153846153846154,0.5,0.3647090053557438,0.2895590143704273
18,Meal carton,4,0.0,0.0,0.0,0.0,0.0
19,Pizza box,0,0.0,0.0,0.0,nan,nan
20,Paper cup,13,0.35714285714285715,0.38461538461538464,0.3703703703703704,0.23428455012106986,0.19321643892558787
21,Disposable plastic cup,19,0.3888888888888889,0.3684210526315789,0.37837837837837834,0.27060042951313845,0.2170973960175401
22,Foam cup,5,0.0,0.0,0.0,0.0,0.0
23,Glass cup,1,0.0,0.0,0.0,0.0,0.0
24,Other plastic cup,0,0.0,0.0,0.0,nan,nan
25,Food waste,1,0.0,0.0,0.0,0.0,0.0
26,Glass jar,0,0.0,0.0,0.0,nan,nan
27,Plastic lid,14,1.0,0.21428571428571427,0.35294117647058826,0.2539590961531841,0.21628165802800298
28,Metal lid,3,0.0,0.0,0.0,0.0,0.0
29,Other plastic,60,0.2,0.11666666666666667,0.1473684210526316,0.04315768938347932,0.030374851457849454
30,Magazine paper,0,0.0,0.0,0.0,nan,nan
31,Tissues,8,0.125,0.125,0.125,0.01608910891089109,0.016089108910891093
32,Wrapping paper,2,0.0,0.0,0.0,0.0,0.0
33,Normal paper,18,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.10568914034260568,0.06803394625176803
34,Paper bag,5,0.2,0.4,0.26666666666666666,0.08118811881188118,0.0691089108910891
35,Plastified paper bag,0,0.0,0.0,0.0,nan,nan
36,Plastic film,53,0.39473684210526316,0.2830188679245283,0.32967032967032966,0.20051289056695448,0.12187480671427937
37,Six pack rings,3,0.0,0.0,0.0,0.0,0.0
38,Garbage bag,7,0.10526315789473684,0.2857142857142857,0.15384615384615385,0.04088667976109351,0.006373511845111636
39,Other plastic wrapper,32,0.5263157894736842,0.3125,0.39215686274509803,0.28302308767166484,0.2319375154011633
40,Single-use carrier bag,12,0.15,0.25,0.18749999999999997,0.05331716098439112,0.04119393646681742
41,Polypropylene bag,0,0.0,0.0,0.0,nan,nan
42,Crisp packet,3,0.17647058823529413,1.0,0.3,0.18439138031450203,0.1502271403610949
43,Spread tub,1,0.0,0.0,0.0,0.0,0.0
44,Tupperware,1,0.0,0.0,0.0,0.0,0.0
45,Disposable food container,3,0.0,0.0,0.0,0.0,0.0
46,Foam food container,3,1.0,0.3333333333333333,0.5,0.5577557755775577,0.5356435643564357
47,Other plastic container,0,0.0,0.0,0.0,nan,nan
48,Plastic glooves,1,0.0,0.0,0.0,0.0,0.0
49,Plastic utensils,2,0.0,0.0,0.0,0.0,0.0
50,Pop tab,9,0.0,0.0,0.0,0.0,0.0
51,Rope & strings,3,0.07692307692307693,0.3333333333333333,0.125,0.025894897182025894,0.015536938309215537
52,Scrap metal,4,0.0,0.0,0.0,0.0,0.0
53,Shoe,1,0.0,0.0,0.0,0.0,0.0
54,Squeezable tube,1,0.0,0.0,0.0,0.0,0.0
55,Plastic straw,15,0.3,0.2,0.24,0.12822944430800698,0.11217327565979571
56,Paper straw,1,0.0,0.0,0.0,0.0,0.0
57,Styrofoam piece,10,0.75,0.3,0.4285714285714285,0.30637173693243835,0.29795566690120484
58,Unlabeled litter,76,0.21428571428571427,0.19736842105263158,0.20547945205479454,0.09465290363378459,0.04779360751682059
59,Cigarette,81,0.13846153846153847,0.2222222222222222,0.17061611374407584,0.08585131166595679,0.044794917200939616
